City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,32.0,95,90,23.04,AR,1595810577
1,Saskylakh,71.92,114.08,38.73,94,100,18.34,RU,1595810577
2,Jamestown,42.1,-79.24,77.0,65,1,5.82,US,1595810404
3,Lüderitz,-26.65,15.16,60.8,63,0,12.75,NA,1595810531
4,Mpulungu,-8.76,31.11,65.32,67,56,7.83,ZM,1595810578
5,Kaitangata,-46.28,169.85,53.01,58,0,4.0,NZ,1595810116
6,Atuona,-9.8,-139.03,80.22,72,3,23.38,PF,1595810523
7,Kayiry,46.95,33.71,71.49,78,100,10.42,UA,1595810579
8,Ponta do Sol,32.67,-17.1,69.8,68,20,16.11,PT,1595810579
9,Bijie,27.31,105.29,72.03,66,0,4.0,CN,1595810579
10,Cherskiy,68.75,161.3,65.25,58,0,19.69,RU,1595810579
11,Kapaa,22.08,-159.32,80.6,78,90,24.16,US,1595810580
12,Qandala,11.47,49.87,86.88,57,0,2.71,SO,1595810580
13,Hobyo,5.35,48.53,77.38,75,3,18.39,SO,1595810580
14,Tuatapere,-46.13,167.68,52.47,61,0,3.96,NZ,1595810109
15,Hermanus,-34.42,19.23,46.0,85,0,1.01,ZA,1595810581
16,Hualmay,-11.1,-77.61,60.08,84,4,6.98,PE,1595810472
17,Carnarvon,-24.87,113.63,55.4,93,0,5.82,AU,1595810024
18,Mataura,-46.19,168.86,49.89,61,0,2.51,NZ,1595810582
19,Tiarei,-17.53,-149.33,82.4,74,75,11.41,PF,1595810582
20,Vaini,-21.2,-175.2,75.2,78,75,10.29,TO,1595810524
21,Ust-Kuyga,70.02,135.6,48.65,83,100,6.29,RU,1595810476
22,Lebu,-37.62,-73.65,49.05,82,62,8.23,CL,1595810582
23,Narsaq,60.92,-46.05,50.0,76,18,5.82,GL,1595810583
24,Punta Arenas,-53.15,-70.92,35.6,74,81,16.11,CL,1595810583
25,Busselton,-33.65,115.33,64.0,86,86,7.0,AU,1595810526
26,Rikitea,-23.12,-134.97,70.32,79,0,19.89,PF,1595810583
27,Bengkulu,-3.8,102.27,78.1,75,7,4.07,ID,1595810584
28,São Filipe,14.9,-24.5,76.23,84,73,8.93,CV,1595810244
29,East London,-33.02,27.91,59.2,66,97,10.4,ZA,1595810541
30,Hobart,-42.88,147.33,51.01,87,75,5.82,AU,1595810435
31,Dongying,37.46,118.49,81.07,56,0,7.92,CN,1595810584
32,Port Alfred,-33.59,26.89,56.84,68,99,7.29,ZA,1595810585
33,Barrow,71.29,-156.79,46.4,93,90,19.46,US,1595810585
34,Bambous Virieux,-20.34,57.76,70.0,70,78,7.0,MU,1595810585
35,Khatanga,71.97,102.5,44.91,70,100,10.02,RU,1595810585
36,Fortuna,40.6,-124.16,66.99,71,24,1.99,US,1595810429
37,Paamiut,61.99,-49.67,45.63,90,39,1.16,GL,1595810544
38,Tiksi,71.69,128.87,37.45,93,100,11.14,RU,1595810221
39,Eureka,40.8,-124.16,59.0,77,90,6.93,US,1595810532
40,Alappuzha,9.49,76.33,79.02,84,100,5.68,IN,1595810587
41,Iqaluit,63.75,-68.51,50.0,87,40,5.82,CA,1595810587
42,College,64.86,-147.8,69.8,52,75,6.93,US,1595810330
43,Tasiilaq,65.61,-37.64,42.8,87,95,5.82,GL,1595810050
44,Lom Sak,16.78,101.24,77.0,100,75,2.39,TH,1595810587
45,Yeppoon,-23.13,150.73,66.2,45,0,6.93,AU,1595810588
46,Nikolskoye,59.7,30.79,53.01,93,0,2.71,RU,1595810588
47,Guerrero Negro,27.98,-114.06,71.85,74,0,20.92,MX,1595810588
48,Umm Kaddadah,13.6,26.69,80.29,66,54,17.07,SD,1595810588
49,Chebenki,51.93,55.71,57.2,76,20,11.18,RU,1595810649
50,Douentza,15.0,-2.95,86.52,53,38,4.52,ML,1595810649
51,Coahuayana Viejo,18.73,-103.68,75.2,88,75,2.55,MX,1595810649
52,Vardø,70.37,31.11,58.28,74,6,10.96,NO,1595810650
53,Dikson,73.51,80.55,37.8,89,100,14.0,RU,1595810650
54,Hong Kong,22.29,114.16,86.0,83,8,11.99,HK,1595810473
55,Bindura,-17.3,31.33,45.48,77,5,1.72,ZW,1595810650
56,Longyearbyen,78.22,15.64,55.4,82,20,10.29,SJ,1595810469
57,Hamilton,39.18,-84.53,88.0,66,1,4.7,US,1595810389
58,Namatanai,-3.67,152.43,85.21,68,100,7.14,PG,1595810106
59,Palauig,15.44,119.9,86.05,67,0,2.91,PH,1595810651
60,Butaritari,3.07,172.79,83.64,74,51,10.92,KI,1595810652
61,Cabo San Lucas,22.89,-109.91,88.0,51,5,10.29,MX,1595810652
62,Shimoda,34.67,138.95,82.4,83,75,11.41,JP,1595810453
63,St. George's,12.06,-61.75,82.4,78,75,8.05,GD,1595810612
64,Coyhaique,-45.58,-72.07,33.8,64,40,3.36,CL,1595810252
65,Clovis,36.83,-119.7,102.0,19,20,4.7,US,1595810653
66,Hilo,19.73,-155.09,89.6,59,75,18.34,US,1595810653
67,Muroto-misakicho,33.28,134.15,77.0,100,75,3.36,JP,1595810653
68,Batemans Bay,-35.72,150.18,51.01,93,100,24.58,AU,1595810654
69,Northam,51.03,-4.22,60.01,96,100,7.0,GB,1595810431
70,Boyuibe,-20.42,-63.28,58.59,70,0,2.73,BO,1595810654
71,Tegul'det,57.31,88.17,55.96,90,18,4.43,RU,1595810654
72,Rønne,55.1,14.71,62.6,93,98,2.24,DK,1595810655
73,Port Lincoln,-34.73,135.87,56.62,76,93,12.8,AU,1595810212
74,Yangi Marg`ilon,40.43,71.72,71.6,60,75,6.93,UZ,1595810655
75,Bluff,-46.6,168.33,48.43,67,0,6.64,NZ,1595810655
76,Požega,45.34,17.69,63.0,88,92,2.24,HR,1595810656
77,Sotnikovo,51.88,107.48,62.6,93,75,4.52,RU,1595810656
78,Sinnamary,5.38,-52.95,79.39,83,73,8.57,GF,1595810656
79,Olafsvik,64.89,-23.71,48.22,71,35,9.8,IS,1595810413
80,Viedma,-40.81,-63.0,44.01,88,95,3.0,AR,1595810381
81,Kogon,39.72,64.55,75.2,41,0,11.41,UZ,1595810657
82,Leningradskiy,69.38,178.42,66.56,49,100,13.65,RU,1595810657
83,Geraldton,-28.77,114.6,55.4,66,0,14.99,AU,1595810128
84,Qaanaaq,77.48,-69.36,42.39,65,0,3.62,GL,1595810658
85,Faya,18.39,42.45,64.4,88,40,10.29,SA,1595810658
86,Impfondo,1.64,18.07,68.07,98,86,2.39,CG,1595810658
87,Hohhot,40.81,111.65,64.4,93,20,2.24,CN,1595810659
88,Sovetskiy,61.36,63.58,56.66,83,0,6.33,RU,1595810659
89,Albany,42.6,-73.97,80.01,55,95,5.3,US,1595810546
90,Korla,41.76,86.15,87.01,71,11,1.01,CN,1595810387
91,Lethem,3.38,-59.8,76.8,82,11,4.07,GY,1595810198
92,Matara,5.95,80.54,78.51,86,100,13.98,LK,1595810660
