,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Turan,16.07,108.22,93.2,52,40,8.05,VN,1596343972
1,Punta Arenas,-53.15,-70.92,35.6,93,100,14.99,CL,1596343889
2,Pangnirtung,66.15,-65.71,45.1,80,96,1.16,CA,1596343972
3,Ucluelet,48.93,-125.55,61.0,86,89,0.92,CA,1596343973
4,Port Macquarie,-31.43,152.92,69.01,64,0,1.01,AU,1596343973
5,Albany,42.6,-73.97,77.0,59,99,3.51,US,1596343868
6,Grand Forks,47.93,-97.03,62.6,82,1,8.05,US,1596343973
7,Arraial do Cabo,-22.97,-42.03,68.79,73,4,11.36,BR,1596343974
8,Lüderitz,-26.65,15.16,71.6,18,0,9.17,NA,1596343974
9,Mogadishu,2.04,45.34,75.2,69,20,17.22,SO,1596343707
10,Bredasdorp,-34.53,20.04,42.8,93,0,1.12,ZA,1596343974
11,Flinders,-34.58,150.86,63.0,64,91,5.01,AU,1596343974
12,Lively,46.43,-81.15,68.0,68,40,3.36,CA,1596343975
13,Leningradskiy,69.38,178.42,40.84,78,96,6.04,RU,1596343975
14,San Rafael,-34.62,-68.33,56.05,34,45,11.83,AR,1596343975
15,Laguna,38.42,-121.42,78.8,39,1,4.7,US,1596343975
16,Avarua,-21.21,-159.78,68.0,68,100,2.24,CK,1596343976
17,Hithadhoo,-0.6,73.08,83.28,71,57,10.2,MV,1596343735
18,Busselton,-33.65,115.33,57.0,95,54,12.57,AU,1596343880
19,Puerto Ayora,-0.74,-90.35,68.0,95,96,1.01,EC,1596343906
20,Hilo,19.73,-155.09,80.6,54,75,8.05,US,1596343794
21,Yulara,-25.24,130.99,75.2,8,0,8.05,AU,1596343977
22,Manosque,43.83,5.79,63.0,77,2,4.14,FR,1596343977
23,Talnakh,69.49,88.4,71.6,40,84,15.66,RU,1596343977
24,Mataura,-46.19,168.86,51.4,90,100,1.95,NZ,1596343978
25,Port Alfred,-33.59,26.89,59.32,41,0,8.05,ZA,1596343978
26,Richards Bay,-28.78,32.04,58.98,82,0,5.14,ZA,1596343968
27,Vaini,-21.2,-175.2,73.4,78,75,6.93,TO,1596343903
28,Rikitea,-23.12,-134.97,73.38,80,31,5.66,PF,1596343979
29,Sokolo,14.73,-6.12,79.92,75,37,12.71,ML,1596343979
30,Tuktoyaktuk,69.45,-133.04,51.8,87,75,17.22,CA,1596343979
31,Araouane,18.9,-3.53,91.0,47,0,17.07,ML,1596343979
32,Moosomin,50.13,-101.67,58.23,83,8,4.92,CA,1596343980
33,Port Elizabeth,-33.92,25.57,46.4,100,0,3.36,ZA,1596343980
34,Onda,39.97,-0.25,79.0,87,4,1.25,ES,1596343980
35,Berlevåg,70.86,29.09,48.88,85,99,7.16,NO,1596343980
36,Ushuaia,-54.8,-68.3,35.6,93,94,5.82,AR,1596343939
37,Nantucket,41.28,-70.1,68.0,88,1,3.36,US,1596343897
38,Ringebu,61.52,10.17,52.0,89,100,6.6,NO,1596343981
39,Bluff,-46.6,168.33,50.95,88,100,6.53,NZ,1596343981
40,Kota,25.18,75.83,90.52,57,97,10.92,IN,1596343956
41,Yellowknife,62.46,-114.35,73.99,60,75,12.75,CA,1596343804
42,Fairbanks,64.84,-147.72,66.2,77,75,12.75,US,1596343825
43,Nizhniy Kuranakh,58.84,125.49,65.55,58,98,12.17,RU,1596343897
44,Dikson,73.51,80.55,50.92,84,8,16.8,RU,1596343982
45,Barrow,71.29,-156.79,37.4,74,90,8.05,US,1596343983
46,Emerald,-23.53,148.17,75.2,31,0,9.17,AU,1596343983
47,Nikolskoye,59.7,30.79,64.0,82,40,4.47,RU,1596343983
48,Saldanha,-33.01,17.94,50.0,71,0,1.12,ZA,1596343884
49,Iquitos,-3.75,-73.25,72.23,78,56,0.81,PE,1596344044
50,Xinzhi,36.5,111.7,93.04,39,0,6.69,CN,1596344044
51,Bengkulu,-3.8,102.27,83.19,68,99,7.4,ID,1596344044
52,Chikwawa,-16.03,34.8,60.76,81,8,2.77,MW,1596344045
53,Turukhansk,65.82,87.98,70.66,54,48,9.08,RU,1596344045
54,Chokurdakh,70.63,147.92,61.21,51,92,5.73,RU,1596344046
55,Thompson,55.74,-97.86,53.6,87,20,1.39,CA,1596344046
56,New Norfolk,-42.78,147.06,57.99,43,93,5.01,AU,1596344046
57,Avesta,60.15,16.17,64.0,80,57,2.55,SE,1596344047
58,Provideniya,64.38,-173.3,49.08,61,15,10.49,RU,1596344047
59,Diffa,13.32,12.61,79.05,69,99,6.71,NE,1596344048
60,Svetlaya,46.54,138.33,76.41,68,47,17.38,RU,1596344048
61,Salalah,17.02,54.09,82.4,83,75,4.7,OM,1596343890
62,Sitka,57.05,-135.33,60.8,72,75,16.11,US,1596344049
63,Khartoum,15.55,32.53,75.2,88,40,8.05,SD,1596343874
64,Nacala,-14.54,40.67,72.9,78,63,11.97,MZ,1596344050
65,Carnarvon,-24.87,113.63,66.2,72,0,16.11,AU,1596344050
66,San Angelo,31.46,-100.44,82.99,37,1,6.93,US,1596343787
67,East London,-33.02,27.91,50.0,87,0,6.93,ZA,1596344050
68,Hamilton,39.18,-84.53,73.4,94,75,6.93,US,1596343918
69,Saskylakh,71.92,114.08,75.72,35,100,7.45,RU,1596344051
70,Youghal,51.95,-7.85,50.0,100,40,3.36,IE,1596344051
71,Kumluca,36.37,30.29,88.79,37,0,1.63,TR,1596344052
72,Tessalit,20.2,1.01,88.93,38,0,10.78,ML,1596344052
73,Kalmunai,7.42,81.82,89.67,53,46,6.02,LK,1596344052
74,Katsuura,35.13,140.3,91.0,66,75,6.93,JP,1596344053
75,Airai,-8.93,125.41,73.63,47,0,3.31,TL,1596343907
76,Debelec,43.03,25.62,69.8,68,49,4.7,BG,1596344053
77,Clyde River,70.47,-68.59,37.4,100,90,2.24,CA,1596344053
78,Oussouye,12.48,-16.55,78.42,86,93,6.35,SN,1596344054
79,Plettenberg Bay,-34.05,23.37,71.02,23,0,13.53,ZA,1596344054
80,Tezu,27.92,96.17,92.88,52,22,3.33,IN,1596344055
81,San Luis,-33.3,-66.34,57.76,38,3,12.44,AR,1596344055
82,Severo-Kuril'sk,50.68,156.12,54.91,82,96,7.25,RU,1596344055
83,Vestmanna,62.16,-7.17,50.0,93,61,11.41,FO,1596344056
84,Upernavik,72.79,-56.15,40.78,70,0,11.99,GL,1596344056
85,Athabasca,54.72,-113.29,64.15,89,51,11.52,CA,1596344056
86,Batticaloa,7.71,81.69,89.8,54,81,8.37,LK,1596344056
87,Kruisfontein,-34.0,24.73,58.82,35,1,14.18,ZA,1596344057
88,Foumban,5.73,10.9,62.33,100,100,0.92,CM,1596344047
89,College,64.86,-147.8,66.2,77,90,11.41,US,1596344057
90,Jamestown,42.1,-79.24,68.0,93,90,5.82,US,1596344057
91,Muros,42.78,-9.06,62.01,83,38,1.99,ES,1596344058
92,Santa Lucía,27.91,-15.54,75.0,78,20,21.92,ES,1596344058
93,Cidreira,-30.18,-50.21,59.45,75,0,8.75,BR,1596344118
94,Souillac,-20.52,57.52,69.8,88,75,14.99,MU,1596344118
95,Lichuan,30.3,108.85,85.48,56,48,2.37,CN,1596344119
96,Tasiilaq,65.61,-37.64,42.8,52,22,6.93,GL,1596344119
97,Kaitangata,-46.28,169.85,55.99,71,93,4.0,NZ,1596344119
98,Hobart,-42.88,147.33,57.99,43,98,18.34,AU,1596343956
99,Codrington,-38.27,141.97,55.31,69,100,6.69,AU,1596344120
100,Nicoya,10.15,-85.45,76.42,92,57,0.81,CR,1596344120
101,Hermanus,-34.42,19.23,60.73,46,0,3.87,ZA,1596344121
102,Ilulissat,69.22,-51.1,41.0,93,38,1.97,GL,1596344121
103,Saint Paul Harbor,57.79,-152.41,57.2,87,90,3.22,US,1596344122
104,Nome,64.5,-165.41,63.0,77,75,9.17,US,1596343949
105,Geraldton,-28.77,114.6,69.8,43,0,13.87,AU,1596344122
106,Springbok,-29.66,17.89,53.74,35,0,8.66,ZA,1596344122
107,Chui,-33.7,-53.46,52.74,92,86,7.76,UY,1596343883
108,São José da Coroa Grande,-8.9,-35.15,74.19,84,66,9.95,BR,1596344123
109,Lumeje,-11.55,20.78,50.72,53,97,6.04,AO,1596344123
110,Butaritari,3.07,172.79,84.02,76,9,16.17,KI,1596344124
111,Esim,4.87,-2.24,73.04,84,7,6.22,GH,1596344124
112,Lebu,-37.62,-73.65,50.22,94,69,9.84,CL,1596344124
113,Nouakchott,18.09,-15.98,84.2,70,2,9.17,MR,1596343956
114,Karratha,-20.74,116.85,83.98,15,0,7.0,AU,1596344119
115,Shingū,33.73,135.98,84.2,83,75,9.17,JP,1596344125
116,Tocopilla,-22.09,-70.2,57.02,63,25,2.42,CL,1596344125
117,Yakima,46.47,-120.67,78.01,46,1,3.36,US,1596344126
118,Coahuayana Viejo,18.73,-103.68,79.11,75,96,2.71,MX,1596344126
119,Romny,50.75,33.47,56.34,82,23,9.28,UA,1596344126
120,Qaanaaq,77.48,-69.36,37.76,79,100,7.72,GL,1596344127
121,Longyearbyen,78.22,15.64,46.4,87,75,3.36,SJ,1596344127
122,Fort Nelson,58.81,-122.7,66.2,88,75,8.05,CA,1596344019
123,Béoumi,7.67,-5.58,71.6,100,75,6.93,CI,1596344128
124,Lakes Entrance,-37.88,147.98,68.0,49,38,3.0,AU,1596344128
125,Talaya,61.38,152.75,61.97,44,80,8.37,RU,1596344128
126,Pevek,69.7,170.31,36.59,90,94,5.86,RU,1596344128
127,Batagay-Alyta,67.8,130.41,68.31,40,0,5.86,RU,1596344129
128,Hong Kong,22.29,114.16,86.0,74,100,11.99,HK,1596343880
129,Aleysk,52.49,82.78,76.86,48,0,10.87,RU,1596344129
130,Saint-Pierre,-21.34,55.48,69.8,68,90,12.75,RE,1596344130
131,Mouila,-1.87,11.06,73.92,74,100,1.97,GA,1596344130
132,Fortuna,40.6,-124.16,59.0,92,13,1.01,US,1596344130
133,Kahului,20.89,-156.47,84.2,54,40,18.34,US,1596344130
134,Esperance,-33.87,121.9,60.8,67,93,12.75,AU,1596344131
135,Kapaa,22.08,-159.32,80.6,78,40,11.41,US,1596344131
136,Hambantota,6.12,81.12,82.4,88,40,6.93,LK,1596344131
137,Kimbe,-5.55,150.14,88.05,57,9,8.63,PG,1596344132
138,Madimba,-10.4,40.33,71.44,77,20,13.71,TZ,1596344132
139,Yar-Sale,66.83,70.83,65.21,68,14,10.94,RU,1596344132
140,Ixtapa,20.7,-105.2,84.2,70,90,3.36,MX,1596344192
141,Pacific Grove,36.62,-121.92,57.99,97,0,3.0,US,1596344193
142,Purranque,-40.92,-73.17,46.4,100,27,3.36,CL,1596344173
143,Vrangel',42.73,133.08,69.42,94,99,2.35,RU,1596344193
144,Sampang,-7.19,113.24,82.6,64,83,6.64,ID,1596344193
145,Castro,-24.79,-50.01,50.07,96,0,3.31,BR,1596343962
146,Vung Tau,10.35,107.08,83.7,79,83,19.84,VN,1596344106
147,Bakchar,57.02,82.07,76.33,55,0,5.73,RU,1596344194
148,Torbay,47.67,-52.73,57.99,100,90,8.05,CA,1596344195
149,Lanxi,29.22,119.48,93.96,54,82,1.45,CN,1596344195
150,Pangai,-19.8,-174.35,73.45,74,91,14.32,TO,1596344195
151,Khatanga,71.97,102.5,64.36,81,100,10.38,RU,1596344195
152,Colombo,6.93,79.85,84.2,79,40,5.82,LK,1596344196
153,Sayyan,15.17,44.32,61.92,78,34,4.18,YE,1596344196
154,Alofi,-19.06,-169.92,73.4,69,100,11.41,NU,1596344196
155,Liverpool,53.41,-2.98,57.2,82,82,4.7,GB,1596344196
156,Ishinomaki,38.42,141.3,77.0,69,75,11.41,JP,1596344197
157,Saint George,37.1,-113.58,98.6,11,1,9.17,US,1596344059
158,Ribeira Grande,38.52,-28.7,70.66,68,2,7.0,PT,1596344197
159,Cap-aux-Meules,47.38,-61.86,66.0,87,0,11.7,CA,1596344198
160,Camacupa,-12.02,17.48,48.81,65,90,3.98,AO,1596344198
161,Yuzhno-Kurilsk,44.03,145.86,66.24,82,98,14.0,RU,1596344198
162,Kamina,-8.74,24.99,61.61,42,58,7.36,CD,1596344198
163,Juan de Ayolas,-27.4,-56.9,65.01,75,0,8.95,PY,1596344199
164,Ruteng,-8.61,120.47,73.13,60,0,0.65,ID,1596344199
165,Dawei,14.08,98.2,78.1,92,100,15.57,MM,1596344199
